NEEDS_CORRECTION,CORRECT_TO
AJ.GREER,A.J..GREER
A.J.GREER,A.J..GREER
ALEXANDER.AULD,ALEX.AULD
ALEXANDRE.BURROWS,ALEX.BURROWS
ALEX.EDLER,ALEXANDER.EDLER
ALEXANDER.FOSTER,ALEX.FOSTER
ALEX.FROLOV,ALEXANDER.FROLOV
ALEXANDER.GOLIGOSKI,ALEX.GOLIGOSKI
ALEX.KHOKHLACHEV,ALEXANDER.KHOKHLACHEV
ALEXANDER.KILLORN,ALEX.KILLORN
ALEXANDER.KOVALEV,ALEX.KOVALEV
ALEX.OVECHKIN,ALEXANDER.OVECHKIN
ALEXANDER.PECHURSKI,ALEXANDER.PECHURSKIY
ALEXANDER.PETROVIC,ALEX.PETROVIC
ALEX.RADULOV,ALEXANDER.RADULOV
ALEX.SEMIN,ALEXANDER.SEMIN
ALEX.STEEN,ALEXANDER.STEEN
ALEXANDER.TANGUAY,ALEX.TANGUAY
ALEX.WENNBERG,ALEXANDER.WENNBERG
ANDREI.KASTSITSYN,ANDREI.KOSTITSYN
ANDREI.KASTITSYN,ANDREI.KOSTITSYN
ANDREW.GREENE,ANDY.GREENE
ANDREW.WOZNIEWSKI,ANDY.WOZNIEWSKI
BATES.(JON).BATTAGLIA,BATES.BATTAGLIA
BENJAMIN.ONDRUS,BEN.ONDRUS
BJ.CROMBEEN,B.J..CROMBEEN
B.J.CROMBEEN,B.J..CROMBEEN
BRADLEY.MILLS,BRAD.MILLS
BRANDON.CROMBEEN,B.J..CROMBEEN
CAMERON.BARKER,CAM.BARKER
CAMERON.DARCY,CAM.DARCY
CHRIS.BREEN,CHRISTOPHER.BREEN
CHRISTOPHER.BOURQUE,CHRIS.BOURQUE
CHRISTOPHER.DIDOMENICO,CHRIS.DIDOMENICO
CHRISTOPHER.HIGGINS,CHRIS.HIGGINS
CHRISTOPHER.MINARD,CHRIS.MINARD
CHRISTOPHER.NEIL,CHRIS.NEIL
CHISTOPHER.TANEV,CHRIS.TANEV
CHRISTOPHER.TANEV,CHRIS.TANEV
CHRIS.VAN.DE.VELDE,CHRIS.VANDEVELDE
CHRIS.VANDE.VELDE,CHRIS.VANDEVELDE
COLIN.(JOHN).WHITE,COLIN.WHITE
CRISTOVAL.NIEVES,BOO.NIEVES
D.J.KING,D.J..KING
DJ.KING,D.J..KING
DWAYNE.KING,D.J..KING
DANNY.BRIERE,DANIEL.BRIERE
DANIEL.CARCILLO,DAN.CARCILLO
DANIEL.CLEARY,DAN.CLEARY
DANNY.CLEARY,DAN.CLEARY
DANIEL.GIRARDI,DAN.GIRARDI
DANIEL.O'REGAN,DANNY.O'REGAN
DANIEL.TAYLOR,DANNY.TAYLOR
DAVID.STECKEL,DAVE.STECKEL
DAVID.JOHNNY.ODUYA,JOHNNY.ODUYA
DAVID.ODUYA,JOHNNY.ODUYA
DENIS.JR.GAUTHIER,DENIS.GAUTHIER
DENIS.JR..GAUTHIER,DENIS.GAUTHIER
EDWARD.PASQUALE,EDDIE.PASQUALE
EDWARD.PURCELL,TEDDY.PURCELL
EMMANUEL.FERNANDEZ,MANNY.FERNANDEZ
EMMANUEL.LEGACE,MANNY.LEGACE
EVGENI.DADONOV,EVGENII.DADONOV
EVGENY.DADONOV,EVGENII.DADONOV
EVGENI.MALKIN..(A),EVGENI.MALKIN
FREDDIE.MODIN,FREDRIK.MODIN
FREDDY.MODIN,FREDRIK.MODIN
FREDERICK.MODIN,FREDRIK.MODIN
FREDERICK.MEYER.IV,FREDDY.MEYER
FRÉDÉRIC.ST-DENIS,FREDERIC.ST..DENIS
FREDERIC.ST-DENIS,FREDERIC.ST..DENIS
GREGORY.HOFMANN,GREG.HOFMANN
HARRISON.ZOLNIERCZYK,HARRY.ZOLNIERCZYK
ILJA.BRYZGALOV,ILYA.BRYZGALOV
ILJA.ZUBOV,ILYA.ZUBOV
J.C.LIPON,J.C..LIPON
JC.LIPON,J.C..LIPON
JEAN-FRANCOIS.JACQUES,J.F..JACQUES
JEFF.DROUIN-DESLAURIERS,JEFF.DESLAURIERS
JEFFREY.HAMILTON,JEFF.HAMILTON
J.F.BERUBE,J.F..BERUBE
JEAN-FRANCOIS.BERUBE,J.F..BERUBE
J-F.BERUBE,J.F..BERUBE
JF.JACQUES,J.F..JACQUES
J-F.JACQUES,J.F..JACQUES
J.F.JACQUES,J.F..JACQUES
JACOB.DOWELL,JAKE.DOWELL
JAKOB.FORSBACKA-KARLSSON,JAKOB.FORSBACKA.KARLSSON
JAMES.DOWD,JIM.DOWD
JAMES.HOWARD,JIMMY.HOWARD
JAMES.VANDERMEER,JIM.VANDERMEER
JOHN.PEVERLEY,RICH.PEVERLEY
JON-PAUL.ANDERSON,J.P..ANDERSON
JEAN-PHILIPPE.COTE,J.P..COTE
JEFFREY.PENNER,JEFF.PENNER
JOHN.ODUYA,JOHNNY.ODUYA
JONATHAN.AUDY-MARCHESSAULT,JONATHAN.MARCHESSAULT
JONATHAN.SIM,JON.SIM
JOSHUA.HO-SANG,JOSH.HO-SANG
JP.COTE,J.P..COTE
J.P.COTE,J.P..COTE
J.DUMONT,J.P..DUMONT
JEAN-PIERRE.DUMONT,J.P..DUMONT
JOHN.HILLEN.III,JACK.HILLEN
JP.DUMONT,J.P..DUMONT
J.P.DUMONT,J.P..DUMONT
J-P.DUMONT,J.P..DUMONT
JEAN-SEBASTIEN.GIGUERE,J.S..GIGUERE
JONATHON.KALINSKI,JON.KALINSKI
JORDAN.LAVALLEE-SMOTHERMAN,JORDAN.SMOTHERMAN
JOSEPH.CORVO,JOE.CORVO
JOSEPH.CRABB,JOEY.CRABB
JOSHUA.BAILEY,JOSH.BAILEY
JOSHUA.HENNESSY,JOSH.HENNESSY
JOSHUA.MORRISSEY,JOSH.MORRISSEY
J-SEBASTIEN.AUBIN,JEAN-SEBASTIEN.AUBIN
JS.GIGUERE,J.S..GIGUERE
J.S.GIGUERE,J.S..GIGUERE
JT.BROWN,J.T..BROWN
J.T.BROWN,J.T..BROWN
JT.COMPHER,J.T..COMPHER
J.T.COMPHER,J.T..COMPHER
JT.MILLER,J.T..MILLER
J.T.MILLER,J.T..MILLER
JAMES.WYMAN,J.T..WYMAN
JT.WYMAN,J.T..WYMAN
J.T.WYMAN,J.T..WYMAN
KENNETH.APPLEBY,KEN.APPLEBY
KRISTOPHER.LETANG,KRIS.LETANG
KRYSTOFER.BARCH,KRYS.BARCH
KRYSTOFER.KOLANOS,KRYS.KOLANOS
MA.BERGERON,MARC-ANDRE.BERGERON
M.A.BERGERON,MARC-ANDRE.BERGERON
MA.FLEURY,MARC-ANDRE.FLEURY
M.A.FLEURY,MARC-ANDRE.FLEURY
MARC.POULIOT,MARC-ANTOINE.POULIOT
MARTY.HAVLAT,MARTIN.HAVLAT
MARTIN.ST.LOUIS,MARTIN.ST..LOUIS
MARTIN.ST.PIERRE,MARTIN.ST..PIERRE
MATTHEW.BENNING,MATT.BENNING
MATTHEW.CARLE,MATT.CARLE
MATTHEW.CORRENTE,MATT.CORRENTE
MATTHEW.SPILLER,MATT.SPILLER
MATTHEW.STAJAN,MATT.STAJAN
MATHEW.DUMBA,MATT.DUMBA
MATTHEW.HEWITT,MATT.HEWITT
MATTHEW.IRWIN,MATT.IRWIN
MATTHEW.KONAN,MATT.KONAN
MATTHEW.MURRAY,MATT.MURRAY
MATTHEW.NIETO,MATT.NIETO
MATTHEW.O'CONNOR,MATT.O'CONNOR
MATTHEW.PECA,MATT.PECA
MATTHEW.SPENCER,MATT.SPENCER
MAXIM.LAPIERRE,MAX.LAPIERRE
MAXIM.MAYOROV,MAKSIM.MAYOROV
MAXIME.TALBOT,MAX.TALBOT
MAXWELL.REINHART,MAX.REINHART
MICHAEL.BLUNDEN,MIKE.BLUNDEN
MICHAËL.BOURNIVAL,MICHAEL.BOURNIVAL
MICHAEL.FERLAND,MICHEAL.FERLAND
MICHAEL.GRIER,MIKE.GRIER
MICHAEL.KNUBLE,MIKE.KNUBLE
MICHAEL.KOMISAREK,MIKE.KOMISAREK
MICHAEL.KOSTKA,MIKE.KOSTKA
MICHAEL.MATHESON,MIKE.MATHESON
MICHAEL.MODANO,MIKE.MODANO
MICHAEL.MOLE,MIKE.MOLE
MICHAEL.MORRISON,MIKE.MORRISON
MICHAEL.PECA,MIKE.PECA
MICHAEL.RUPP,MIKE.RUPP
MICHAEL.SANTORELLI,MIKE.SANTORELLI
MICHAEL.SILLINGER,MIKE.SILLINGER
MICHAEL.VERNACE,MIKE.VERNACE
MICHAEL.YORK,MIKE.YORK
MICHAEL.ZALEWSKI,MIKE.ZALEWSKI
MICHAEL.ZIGOMANIS,MIKE.ZIGOMANIS
MIKE.CAMMALLERI,MICHAEL.CAMMALLERI
MITCHELL.FRITZ,MITCH.FRITZ
MITCHELL.MARNER,MITCH.MARNER
NATHAN.GUENIN,NATE.GUENIN
NIITA.ZAITSEV,NIKITA.ZAITSEV
NICKLAS.BERGFORS,NICLAS.BERGFORS
NICOLAS.PETAN,NIC.PETAN
NICHOLAS.BOYNTON,NICK.BOYNTON
NICHOLAS.DRAZENOVIC,NICK.DRAZENOVIC
NICHOLAS.MERKLEY,NICK.MERKLEY
NICKLAS.GROSSMAN,NICKLAS.GROSSMANN
NIKLAS.KRONVALL,NIKLAS.KRONWALL
NIKOLAI.ANTROPOV,NIK.ANTROPOV
NIKOLAI.KULEMIN,NIKOLAY.KULEMIN
NIKOLAI.ZHERDEV,NIKOLAY.ZHERDEV
NORMAN.MILLEY,NORM.MILLEY
OLIVIER.MAGNAN-GRENIER,OLIVIER.MAGNAN
OLIVER.EKMAN,OLIVER.EKMAN-LARSSON
PIERRE-ALEXANDRE.PARENTEAU,P.A..PARENTEAU
PA.PARENTEAU,P.A..PARENTEAU
P.A.PARENTEAU,P.A..PARENTEAU
PAT.MAROON,PATRICK.MAROON
PIERRE-CEDRIC.LABRIE,P.C..LABRIE
PC.LABRIE,P.C..LABRIE
P.C.LABRIE,P.C..LABRIE
PER.JOHAN.AXELSSON,P.J..AXELSSON
P..AXELSSON,P.J..AXELSSON
P..J..AXELSSON,P.J..AXELSSON
PJ.AXELSSON,P.J..AXELSSON
PER.AXELSSON,P.J..AXELSSON
PHILLLIP.DANAULT,PHILLIP.DANAULT
PHILIP.VARONE,PHIL.VARONE
PHILLIP.VARONE,PHIL.VARONE
PIERRE.PARENTEAU,P.A..PARENTEAU
PK.SUBBAN,P.K..SUBBAN
P.K.SUBBAN,P.K..SUBBAN
RAYMOND.MACIAS,RAY.MACIAS
RJ.UMBERGER,R.J..UMBERGER
R.J.UMBERGER,R.J..UMBERGER
ROBERT.BLAKE,ROB.BLAKE
ROBERT.EARL,ROBBIE.EARL
ROBERT.HOLIK,BOBBY.HOLIK
ROBERT.SANGUINETTI,BOBBY.SANGUINETTI
ROBERT.SCUDERI,ROB.SCUDERI
ROBB..TALLAS,ROBB.TALLAS
RODNEY.PELLEY,ROD.PELLEY
RYAN.NUGENT,RYAN.NUGENT-HOPKINS
SAMUEL.MONTEMBEAULT,SAM.MONTEMBEAULT
SIARHEI.KASTSITSYN,SERGEI.KOSTITSYN
SIDNEY.CROSBY..(C),SIDNEY.CROSBY
SIMEON.VARLAMOV,SEMYON.VARLAMOV
STAFFAN.KRONVALL,STAFFAN.KRONWALL
STEPHEN.VALIQUETTE,STEVE.VALIQUETTE
STEVEN.REINPRECHT,STEVE.REINPRECHT
TOBY.ENSTROM,TOBIAS.ENSTROM
TIMOTHY.TAYLOR,TIM.TAYLOR
TIMOTHY.THOMAS,TIM.THOMAS
TIMOTHY.JR.THOMAS,TIM.THOMAS
TIMOTHY.JR..THOMAS,TIM.THOMAS
TJ.BRENNAN,T.J..BRENNAN
T.J.BRENNAN,T.J..BRENNAN
TJ.BRODIE,T.J..BRODIE
T.J.BRODIE,T.J..BRODIE
TJ.GALIARDI,T.J..GALIARDI
T.J.GALIARDI,T.J..GALIARDI
T.J.HENSICK,T.J..HENSICK
TJ.HENSICK,T.J..HENSICK
TJ.OSHIE,T.J..OSHIE
T.J.OSHIE,T.J..OSHIE
T.J.TYNAN,T.J..TYNAN
TJ.TYNAN,T.J..TYNAN
THOMAS.FENTON,TOM.FENTON
THOMAS.MCCOLLUM,TOM.MCCOLLUM
TIMMY.SESTITO,TIM.SESTITO
TOMMY.SESTITO,TOM.SESTITO
TONY.DEANGELO,ANTHONY.DEANGELO
VACLAV.PROSPAL,VINNY.PROSPAL
VINCENT.HINOSTROZA,VINNIE.HINOSTROZA
VYACHESLAV.KOZLOV,SLAVA.KOZLOV
WILLIAM.THOMAS,BILL.THOMAS
ZACH.FITZGERALD,ZACK.FITZGERALD
ZACHARY.ASTON-REESE,ZACH.ASTON-REESE
ZACHARY.FUCALE,ZACH.FUCALE
ZACHARY.SANFORD,ZACH.SANFORD
ZACH.STORTINI,ZACK.STORTINI
ZACHERY.STORTINI,ZACK.STORTINI
